,product_name,product_price,sales,scraping_date,revenue,month,year,brand,Price Range,Global Price Range
64,Zwitsal Kids Hair & Body Wash Soft and Moisturizing 280 mL x2,52700,15107,6/24/2025 9:33,796138900,June,2025,Zwitsal,"50,640 - 63,300","45,264 - 90,527"
65,Zwitsal Baby Bath Hair & Body Natural Aloe Vera 2x400 mL,62500,7400,6/24/2025 9:33,462500000,June,2025,Zwitsal,"50,640 - 63,300","45,264 - 90,527"
66,Zwitsal Baby Bath Hair and Body Sabun Mandi Bayi Natural Aloe Vera 2 in 1 400ML x2,63200,1900,6/24/2025 9:33,120080000,June,2025,Zwitsal,"50,640 - 63,300","45,264 - 90,527"
67,Zwitsal Minyak Telon Plus 3in1 Multipack (Isi 4),134900,22712,6/24/2025 9:33,3063848800,June,2025,Zwitsal,"126,600 - 139,260","90,527 - 135,791"
68,Zwitsal Baby Bath Hair & Body - Milky Honey 300 mL x2,70200,17322,6/24/2025 9:33,1216004400,June,2025,Zwitsal,"63,300 - 75,960","45,264 - 90,527"
69,Zwitsal Natural Baby Bath with Minyak Telon 250 ml x 2 Pcs,64000,23874,6/24/2025 9:33,1527936000,June,2025,Zwitsal,"63,300 - 75,960","45,264 - 90,527"
70,Buy 2 Zwitsal Baby Bath Hair And Body 2-In-1 600 Ml FREE Zwitsal Baby Cologne Floral Kisses 100ml,107200,2600,6/24/2025 9:33,278720000,June,2025,Zwitsal,"101,280 - 113,940","90,527 - 135,791"
71,Zwitsal Baby Bath Hair & Body Aloe Vera 600ml Multipack (Isi 4),163500,40047,6/24/2025 9:33,6547684500,June,2025,Zwitsal,"151,920 - 164,580","135,791 - 181,054"
0,Skincare Anak Bayi Paket Vitamin D Lotion Wash,258700,150,6/26/2025 10:40,38805000,June,2025,Expert Care,"212,143 - 282,857","226,318 - 271,582"
1,"Paket Skincare Anak & Bayi - Expert Care Paket Kulit Lembap, Bebas Ruam - 2in1 Shampoo and Body Wash Pump & Pouch + Face and Body Lotion 150gr dengan Colloidal Oatmeal - Sabun Sampo dan Cream Moisturizer Anak dan Bayi",330900,0,6/26/2025 10:40,0,June,2025,Expert Care,"282,857 - 353,571","316,845 - 362,109"
2,Paket Skincare Anak Bayi Expert Care 2in1 Oatmeal,358700,938,6/26/2025 10:40,336460600,June,2025,Expert Care,"353,571 - 424,285","316,845 - 362,109"
3,Skincare Anak Bayi Paket Vitamin D 600 IU Sabun Sampo,189800,948,6/26/2025 10:40,179930400,June,2025,Expert Care,"141,428 - 212,143","181,054 - 226,318"
4,Skincare Anak Bayi Paket Vitamin D Cream 600 IU,165800,769,6/26/2025 10:40,127500200,June,2025,Expert Care,"141,428 - 212,143","135,791 - 181,054"
5,Expert Care Paket Skincare Anak Diskon 26K,353700,6900,6/26/2025 10:40,2440530000,June,2025,Expert Care,"353,571 - 424,285","316,845 - 362,109"
6,Paket Skincare Anak Bayi Expert Care 2in1 Oatmeal,318700,2600,6/26/2025 10:40,828620000,June,2025,Expert Care,"282,857 - 353,571","316,845 - 362,109"
7,Expert Care Paket Skincare Anak Bayi 3pcs Lotion,389700,3000,6/26/2025 10:40,1169100000,June,2025,Expert Care,"353,571 - 424,285","362,109 - 407,372"
8,Expert Care Skincare Anak Bayi 2pcs Lotion 50g,185800,349,6/26/2025 10:40,64844200,June,2025,Expert Care,"141,428 - 212,143","181,054 - 226,318"
9,Paket Skincare Anak Bayi Expert Care 3in1 Lembap,349900,2100,6/26/2025 10:40,734790000,June,2025,Expert Care,"282,857 - 353,571","316,845 - 362,109"
10,[Buy 2 Get 3] Expert Care Skincare Anak Hemat 2pcs,249900,1700,6/26/2025 10:40,424830000,June,2025,Expert Care,"212,143 - 282,857","226,318 - 271,582"
11,Expert Care Skincare Paket Anak Bayi Travel,436500,513,6/26/2025 10:40,223924500,June,2025,Expert Care,"424,285 - 495,000","407,372 - 452,636"
12,Expert Care Paket Skincare Anak Vitamin D 600IU,114800,33,6/26/2025 10:40,3788400,June,2025,Expert Care,"70,714 - 141,428","90,527 - 135,791"
13,Expert Care Paket Skincare Anak Bayi 2pcs Lotion Cream,314900,404,6/26/2025 10:40,127219600,June,2025,Expert Care,"282,857 - 353,571","271,582 - 316,845"
14,Expert Care Bundle Vitamin D Gummies Sunscreen Wash,293700,69,6/26/2025 10:40,20265300,June,2025,Expert Care,"282,857 - 353,571","271,582 - 316,845"
15,Expert Care Paket Sunscreen Anak Bayi SPF 50+,279900,74,6/26/2025 10:40,20712600,June,2025,Expert Care,"212,143 - 282,857","271,582 - 316,845"
16,Expert Care Paket Anak Bayi Vitamin D Sunscreen,426600,82,6/26/2025 10:40,34981200,June,2025,Expert Care,"424,285 - 495,000","407,372 - 452,636"
17,Paket Skincare Anak Bayi Expert Care Lotion Cream,476500,1100,6/26/2025 10:40,524150000,June,2025,Expert Care,"424,285 - 495,000","452,636 - 497,900"
18,GIMMICK Expert Care Anniversary Pouch,10000,3,6/26/2025 10:40,30000,June,2025,Expert Care,"0 - 70,714","0 - 45,264"
19,Paket Skincare Anak Expert Care SPF50+ 50gr,314700,1200,6/26/2025 10:40,377640000,June,2025,Expert Care,"282,857 - 353,571","271,582 - 316,845"
20,Paket Skincare Anak Bayi Expert Care Glowing 6in1,564400,226,6/26/2025 10:40,127554400,June,2025,Expert Care,"495,000 - 565,714","543,163 - 588,427"
21,Paket Skincare Anak Bayi Expert Care 2in1 Oatmeal,451600,1800,6/26/2025 10:40,812880000,June,2025,Expert Care,"424,285 - 495,000","407,372 - 452,636"
22,GIMMICK HADIAH MEMBERSHIP Expert Boost - Paket Imun Kuat & Tumbuh Optimal - Paket 28 Hari Vitami,999999,42,6/26/2025 10:40,41999958,June,2025,Expert Care,"989,999 - 1,060,713","995,799 - 1,041,063"
23,Best Deal Paket Skincare Vitamin Anak Imunitas,462600,53,6/26/2025 10:40,24517800,June,2025,Expert Care,"424,285 - 495,000","452,636 - 497,900"
24,Expert Care Face & Body Lotion Anak 50g 150g,91500,158317,6/26/2025 10:40,14486005500,June,2025,Expert Care,"70,714 - 141,428","90,527 - 135,791"
25,Expert Care Hair Nutrilotion Anak 100ml Nutribiotic,67900,56461,6/26/2025 10:40,3833701900,June,2025,Expert Care,"0 - 70,714","45,264 - 90,527"
26,"[FORMULA & KEMASAN BARU!] Sabun & Sampo Bayi Anak - Expert Care 2in1 Shampoo and Body Wash 250ml dengan Colloidal Oatmeal & Nutrimoist - Kulit Lebih Lembap, Rambut Lebih Lembut",99900,52487,6/26/2025 10:40,5243451300,June,2025,Expert Care,"70,714 - 141,428","90,527 - 135,791"
27,Calming Baby Cream - Expert Care Calming Rub Cream 50g Telon & Lavender dengan Eucalyptus & Menthol - Krim Penghangat Bebas Kolik Napas Lega Bayi dan Anak,89900,106499,6/26/2025 10:40,9574260100,June,2025,Expert Care,"70,714 - 141,428","45,264 - 90,527"
28,[Buy 1 Get 2] Expert Care Skincare Anak Bebas Ruam,179900,5600,6/26/2025 10:40,1007440000,June,2025,Expert Care,"141,428 - 212,143","135,791 - 181,054"
29,Expert Care Sunscreen Bayi Anak SPF 50+ Oatmeal,124900,74649,6/26/2025 10:40,9323660100,June,2025,Expert Care,"70,714 - 141,428","90,527 - 135,791"
30,Paket Skincare Anak Bayi Expert Care 2in1 Oatmeal,225800,22044,6/26/2025 10:40,4977535200,June,2025,Expert Care,"212,143 - 282,857","181,054 - 226,318"
31,Expert Care Skincare Anak Bayi SPF50+ Oatmeal,260800,10486,6/26/2025 10:40,2734748800,June,2025,Expert Care,"212,143 - 282,857","226,318 - 271,582"
32,[Buy 1 Get 2] Expert Care Skincare Anak Glowing Lotion,198800,2900,6/26/2025 10:40,576520000,June,2025,Expert Care,"141,428 - 212,143","181,054 - 226,318"
33,Paket Skincare Anak Bayi Expert Care 2in1 Lembap,185800,8000,6/26/2025 10:40,1486400000,June,2025,Expert Care,"141,428 - 212,143","181,054 - 226,318"
34,Skincare Anak Bayi Paket Imun Kuat Vitamin D Gummy,99900,835,6/26/2025 10:40,83416500,June,2025,Expert Care,"70,714 - 141,428","90,527 - 135,791"
35,[Buy 1 Get 2] Expert Care Skincare Anak Bayi Lotion & Cream,223800,4000,6/26/2025 10:40,895200000,June,2025,Expert Care,"212,143 - 282,857","181,054 - 226,318"
36,Paket Skincare Anak & Bayi - Expert Care Paket 2pcs Telon Calming Rub Cream 50g - Calming Baby Cream,181800,6300,6/26/2025 10:40,1145340000,June,2025,Expert Care,"141,428 - 212,143","181,054 - 226,318"
37,Paket Skincare Anak Bayi Expert Care SPF50+,220800,5200,6/26/2025 10:40,1148160000,June,2025,Expert Care,"212,143 - 282,857","181,054 - 226,318"
38,Skincare Anak Bayi Paket Imun Kuat Vitamin D Gummy,99900,516,6/26/2025 10:40,51548400,June,2025,Expert Care,"70,714 - 141,428","90,527 - 135,791"
39,[Buy 1 Get 2] Expert Care Skincare Anak Bayi Imun Kuat,223800,2000,6/26/2025 10:40,447600000,June,2025,Expert Care,"212,143 - 282,857","181,054 - 226,318"
40,Expert Care Skincare Anak Bayi Bebas Ruam 2pcs,247194,8200,6/26/2025 10:40,2026990800,June,2025,Expert Care,"212,143 - 282,857","226,318 - 271,582"
41,Expert Care Paket Skincare Anak Bayi Lotion Shampoo,174900,248,6/26/2025 10:40,43375200,June,2025,Expert Care,"141,428 - 212,143","135,791 - 181,054"
42,Skincare Anak Bayi Paket Vitamin D Lotion 600 IU,204900,1200,6/26/2025 10:40,245880000,June,2025,Expert Care,"141,428 - 212,143","181,054 - 226,318"
43,Expert Care Paket Kulit Lembap Imun Kuat Anak,147900,126,6/26/2025 10:40,18635400,June,2025,Expert Care,"141,428 - 212,143","135,791 - 181,054"
44,Skincare Anak Bayi Paket Vitamin D Sunscreen,200800,713,6/26/2025 10:40,143170400,June,2025,Expert Care,"141,428 - 212,143","181,054 - 226,318"
45,"Skincare Anak & Bayi - Expert Care Paket Kulit Lembap, Rambut Sehat, Imun Kuat - 2in1 Shampoo and Body Wash 250ml Pump & Pouch + Hair Nutrilotion 100ml dengan Nutribiotic - Sabun Sampo Hair L",280900,0,6/26/2025 10:40,0,June,2025,Expert Care,"212,143 - 282,857","271,582 - 316,845"
46,Paket Skincare Anak Bayi Expert Care 2pcs Lavender,181800,1600,6/26/2025 10:40,290880000,June,2025,Expert Care,"141,428 - 212,143","181,054 - 226,318"
47,Expert Care Paket Lembap Imun Kuat Anak Dewasa,109900,65,6/26/2025 10:40,7143500,June,2025,Expert Care,"70,714 - 141,428","90,527 - 135,791"
48,[Buy 2 Get 3] Paket Skincare Anak Bayi Expert Care,249900,5900,6/26/2025 10:40,1474410000,June,2025,Expert Care,"212,143 - 282,857","226,318 - 271,582"
49,Paket Skincare Anak & Bayi - Expert Care Paket Kulit Lembap - 1pcs Shampoo and Body Wash Pump  + 2pcs Shampoo and Body Wash Pouch - Sabun Sampo Anak dan Bayi,302900,0,6/26/2025 10:40,0,June,2025,Expert Care,"282,857 - 353,571","271,582 - 316,845"
50,"[BUY 2 GET 3] Expert Care - Bundling Calming Baby Cream Telon 50g + Face & Body Lotion Bayi 150g  + 2in1 Sabun Sampo Bayi 250ml | Kulit Lembap, Imun Kuat, Tidur Nyenyak",389700,487,6/26/2025 10:40,189783900,June,2025,Expert Care,"353,571 - 424,285","362,109 - 407,372"
51,"Expert Care - Kulit Lembut, Bebas Kusam - Physical Sunscreen 50gr + 2in1 Hair and Body Wash dengan Colloidal Oatmeal - Paket Sabun Sampo dan Sunscreen Bayi dan Anak",220800,2200,6/26/2025 10:40,485760000,June,2025,Expert Care,"212,143 - 282,857","181,054 - 226,318"
52,Skincare Anak Bayi 2in1 Wash + Vitamin D Gummy,112900,56,6/26/2025 10:40,6322400,June,2025,Expert Care,"70,714 - 141,428","90,527 - 135,791"
53,[Buy 2 Get 3] Paket Skincare Anak Bayi Expert Care Lembap Aman,219900,672,6/26/2025 10:40,147772800,June,2025,Expert Care,"212,143 - 282,857","181,054 - 226,318"
0,Cussons Baby Wipes Nat Refreshing-Tisu Basah Bayi-Ganti Popok 45's X3,18900,17330,6/20/2025 15:10,327537000,June,2025,Cussons,"17,147 - 25,721","0 - 45,264"
1,Cussons Baby Lotion Moscare Skin Protection - Losion Bayi Anti Nyamuk 50gr,17000,34327,6/20/2025 15:10,583559000,June,2025,Cussons,"8,574 - 17,147","0 - 45,264"
2,[BUY 2 GET 1] Cussons Baby Cream Soft & Smooth - Krim Bayi 50gr,46700,454,6/20/2025 15:10,21201800,June,2025,Cussons,"42,868 - 51,442","45,264 - 90,527"
3,Cussons Baby Shampoo Candle Nut & Celery - Sampo Bayi 200ml,22000,12948,6/20/2025 15:10,284856000,June,2025,Cussons,"17,147 - 25,721","0 - 45,264"
4,Cussons Baby Cream Soft & Smooth 50gr x2,30500,2073,6/20/2025 15:10,63226500,June,2025,Cussons,"25,721 - 34,295","0 - 45,264"
5,Cussons Baby Newborn Pack - Gift Set - Paket Hadiah Bayi,56700,47658,6/20/2025 15:10,2702208600,June,2025,Cussons,"51,442 - 60,016","45,264 - 90,527"
6,Cussons Baby Hair & Body Wash Deep Moisture 600ML Pouch,34700,1015,6/20/2025 15:10,35220500,June,2025,Cussons,"34,295 - 42,868","0 - 45,264"
7,Cussons Baby Soap Soft & Smooth - Sabun Bayi 60gr,4500,16049,6/20/2025 15:10,72220500,June,2025,Cussons,"0 - 8,574","0 - 45,264"
8,Cussons Baby Soap Mild & Gentle - Sabun Bayi 60gr,4500,17330,6/20/2025 15:10,77985000,June,2025,Cussons,"0 - 8,574","0 - 45,264"
9,Cussons Baby Hair Lotion Coconut Oil & Aloe Vera - Losion Rambut Bayi 100ml,22200,13605,6/20/2025 15:10,302031000,June,2025,Cussons,"17,147 - 25,721","0 - 45,264"
10,Cussons Baby Newborn Hair & Body Wash - Sabun Bayi 2in1 Refill 400ml,30900,8059,6/20/2025 15:10,249023100,June,2025,Cussons,"25,721 - 34,295","0 - 45,264"
11,Cussons Baby Wipes Soft & Smooth-Tisu Basah Bayi-Ganti Popok 45's X3,17600,21509,6/20/2025 15:10,378558400,June,2025,Cussons,"17,147 - 25,721","0 - 45,264"
12,Cussons Baby Cologne Happy Fresh - Minyak Wangi Bayi 100ml,21900,15128,6/20/2025 15:10,331303200,June,2025,Cussons,"17,147 - 25,721","0 - 45,264"
13,Cussons Baby Hair & Body Wash Mild & Gentle - Sabun Mandi Bayi 2in1 Refill 600ml + 150ml,34700,12862,6/20/2025 15:10,446311400,June,2025,Cussons,"34,295 - 42,868","0 - 45,264"
14,Cussons Kids Hair & Body Cologne Fruity Berries - Parfum Anak 100ml,17200,10800,6/20/2025 15:10,185760000,June,2025,Cussons,"17,147 - 25,721","0 - 45,264"
15,Cussons Baby Powder Fresh & Nourish Extra Fill - Bedak Bayi 350 gr + 100gr,20700,5800,6/20/2025 15:10,120060000,June,2025,Cussons,"17,147 - 25,721","0 - 45,264"
16,Cussons Baby Newborn Lotion 100ml x2,31300,3000,6/20/2025 15:10,93900000,June,2025,Cussons,"25,721 - 34,295","0 - 45,264"
19,Cussons Baby Hair Lotion Candle Nut & Celery - Losion Rambut Bayi 200ml,36400,14851,6/20/2025 15:10,540576400,June,2025,Cussons,"34,295 - 42,868","0 - 45,264"
20,Cussons Baby Newborn Lotion - Losion Bayi 100ml,15700,24713,6/20/2025 15:10,387994100,June,2025,Cussons,"8,574 - 17,147","0 - 45,264"
21,Cussons Baby Cologne Soft Touch 100ml,21900,13576,6/20/2025 15:10,297314400,June,2025,Cussons,"17,147 - 25,721","0 - 45,264"
22,Cussons Baby Cologne Cheerful Smile - Minyak Wangi Bayi 100ml,22400,44605,6/20/2025 15:10,999152000,June,2025,Cussons,"17,147 - 25,721","0 - 45,264"
23,Cussons Baby Wipes Mild & Gentle-Tisu Basah Bayi-Ganti Popok 45's X6,37200,19835,6/20/2025 15:10,737862000,June,2025,Cussons,"34,295 - 42,868","0 - 45,264"
24,Cussons Baby Newborn Hair & Body Wash - Sabun Bayi 2in1 200ml,21500,13024,6/20/2025 15:10,280016000,June,2025,Cussons,"17,147 - 25,721","0 - 45,264"
25,Cussons Baby Soap Fresh & Nourish - Sabun Bayi 60gr,4500,18329,6/20/2025 15:10,82480500,June,2025,Cussons,"0 - 8,574","0 - 45,264"
26,Cussons Baby Cologne Lovely Kiss - Minyak Wangi Bayi 100ml,21900,8500,6/20/2025 15:10,186150000,June,2025,Cussons,"17,147 - 25,721","0 - 45,264"
28,Cussons Baby Wipes Mild & Gentle-Tisu Basah Bayi-Ganti Popok 45's X3,19500,5200,6/20/2025 15:10,101400000,June,2025,Cussons,"17,147 - 25,721","0 - 45,264"
29,Cussons Baby Face & Body Cream,14900,7200,6/20/2025 15:10,107280000,June,2025,Cussons,"8,574 - 17,147","0 - 45,264"
30,Cussons Baby Cream Soft & Smooth - Krim Bayi 100 Gr,26000,6800,6/20/2025 15:10,176800000,June,2025,Cussons,"25,721 - 34,295","0 - 45,264"
31,Cussons Baby Newborn Cream - Krim Bayi 50gr,18500,40433,6/20/2025 15:10,748010500,June,2025,Cussons,"17,147 - 25,721","0 - 45,264"
32,Cussons Baby Sensicare Intensive Soothing Cream - Krim Pelembab 50gr,56900,15613,6/20/2025 15:10,888379700,June,2025,Cussons,"51,442 - 60,016","45,264 - 90,527"
33,Cussons Baby Cream Mild & Gentle - Krim Bayi 50gr,15200,10769,6/20/2025 15:10,163688800,June,2025,Cussons,"8,574 - 17,147","0 - 45,264"
34,Cussons Baby Cream Soft & Smooth - Krim Bayi 50gr,15600,16454,6/20/2025 15:10,256682400,June,2025,Cussons,"8,574 - 17,147","0 - 45,264"
35,[BUY 2 GET 1] Cussons Baby Face & Body Cream,42200,1100,6/20/2025 15:10,46420000,June,2025,Cussons,"34,295 - 42,868","0 - 45,264"
36,Cussons Baby Cream Mild & Gentle 50gr x3,43000,1200,6/20/2025 15:10,51600000,June,2025,Cussons,"42,868 - 51,442","0 - 45,264"
37,Twinpack Cussons Baby Face & Body Cream Nourish & Care 50gr,29100,446,6/20/2025 15:10,12978600,June,2025,Cussons,"25,721 - 34,295","0 - 45,264"
38,Cussons Baby Cream Newborn 50gr x3,52000,2400,6/20/2025 15:10,124800000,June,2025,Cussons,"51,442 - 60,016","45,264 - 90,527"
39,[Beli 3 Gratis 1] Cussons Baby Face & Body Cream Nourish & Care 50gr,56200,1900,6/20/2025 15:10,106780000,June,2025,Cussons,"51,442 - 60,016","45,264 - 90,527"
40,[BUY 2 GET 1] Cussons Baby Cream Mild & Gentle - Krim Bayi 50gr,45500,260,6/20/2025 15:10,11830000,June,2025,Cussons,"42,868 - 51,442","45,264 - 90,527"
41,Cussons Baby Lotion Moscare Skin Protection - Losion Bayi Anti Nyamuk 100gr,27900,18855,6/20/2025 15:10,526054500,June,2025,Cussons,"25,721 - 34,295","0 - 45,264"
42,Cussons Baby Cream Soft & Smooth 50gr x3,44200,3300,6/20/2025 15:10,145860000,June,2025,Cussons,"42,868 - 51,442","0 - 45,264"
43,Cussons Baby Powder Soft & Smooth Extra Fill - Bedak Bayi 350gr + 100gr,20700,2600,6/20/2025 15:10,53820000,June,2025,Cussons,"17,147 - 25,721","0 - 45,264"
44,Cussons Baby Hair Lotion Candle Nut & Celery - Losion Rambut Bayi 100ml,22200,72923,6/20/2025 15:10,1618890600,June,2025,Cussons,"17,147 - 25,721","0 - 45,264"
45,Cussons Baby Newborn Cream 50gr x2,36000,4100,6/20/2025 15:10,147600000,June,2025,Cussons,"34,295 - 42,868","0 - 45,264"
47,Cussons Baby Cream Mild & Gentle 50gr x2,29700,1300,6/20/2025 15:10,38610000,June,2025,Cussons,"25,721 - 34,295","0 - 45,264"
48,Cussons Baby Cream Fresh & Nourish - Krim Bayi 50gr,15400,20098,6/20/2025 15:10,309509200,June,2025,Cussons,"8,574 - 17,147","0 - 45,264"
49,Cussons Baby Cream Fresh & Nourish 50gr x2,30200,1400,6/20/2025 15:10,42280000,June,2025,Cussons,"25,721 - 34,295","0 - 45,264"
50,Cussons Baby Sensicare Intensive Soothing Cream - 50gr X2,112700,1200,6/20/2025 15:10,135240000,June,2025,Cussons,"111,458 - 120,032","90,527 - 135,791"
51,Cussons Baby Lotion Mild & Gentle - Losion Bayi 200ml,24000,6400,6/20/2025 15:10,153600000,June,2025,Cussons,"17,147 - 25,721","0 - 45,264"
52,Cussons Baby Lotion Fresh & Nourish - Losion Bayi 200ml,24000,13181,6/20/2025 15:10,316344000,June,2025,Cussons,"17,147 - 25,721","0 - 45,264"
53,Cussons Baby Wipes Fresh & Nourish-Tisu Basah Bayi-Ganti Popok 45's X3,18800,70913,6/20/2025 15:10,1333164400,June,2025,Cussons,"17,147 - 25,721","0 - 45,264"
54,Cussons Baby Oil Soft & Smooth 100ml,18700,17329,6/20/2025 15:10,324052300,June,2025,Cussons,"17,147 - 25,721","0 - 45,264"
55,Cussons Baby Moscare Skin Protection Lotion 100gr x2,55600,3700,6/20/2025 15:10,205720000,June,2025,Cussons,"51,442 - 60,016","45,264 - 90,527"
56,Cussons Baby Lotion Soft & Smooth - Losion Bayi 200ml,24000,9100,6/20/2025 15:10,218400000,June,2025,Cussons,"17,147 - 25,721","0 - 45,264"
57,Beli 2 Gratis 1 - Cussons Baby Telon Oil Plus 150ML,92800,4400,6/20/2025 15:10,408320000,June,2025,Cussons,"85,737 - 94,311","90,527 - 135,791"
58,Cussons Baby Hair & Body Wash Deep Moisture - Sabun Bayi 2in1 Refill 375ml,23600,2400,6/20/2025 15:10,56640000,June,2025,Cussons,"17,147 - 25,721","0 - 45,264"
59,Cussons Baby Wipes Soft & Smooth-Tisu Basah Bayi-Ganti Popok 45's X6,35200,12617,6/20/2025 15:10,444118400,June,2025,Cussons,"34,295 - 42,868","0 - 45,264"
60,Beli 2 Gratis 1 - Cussons Baby Hair & Body Wash Deep Moisture 375ML Pouch,58700,8300,6/20/2025 15:10,487210000,June,2025,Cussons,"51,442 - 60,016","45,264 - 90,527"
61,Cussons Baby Minyak Telon Plus - 150ml,34500,20200,6/20/2025 15:10,696900000,June,2025,Cussons,"34,295 - 42,868","0 - 45,264"
62,Cussons Baby Hair Lotion Coconut Oil & Aloe Vera - Losion Rambut Bayi 200ml,36400,2800,6/20/2025 15:10,101920000,June,2025,Cussons,"34,295 - 42,868","0 - 45,264"
63,Cussons Baby Shampoo Coconut Oil & Aloe Vera - Sampo Bayi 100ml,12600,4900,6/20/2025 15:10,61740000,June,2025,Cussons,"8,574 - 17,147","0 - 45,264"
64,Cussons Kids Shampoo Dragon Fresh & Nourish - Sampo Anak 180ml,17800,4500,6/20/2025 15:10,80100000,June,2025,Cussons,"17,147 - 25,721","0 - 45,264"
65,Cussons Baby Shampoo Coconut Oil & Aloe Vera - Sampo Bayi 200ml,22000,5400,6/20/2025 15:10,118800000,June,2025,Cussons,"17,147 - 25,721","0 - 45,264"
66,Cussons Baby Powder Fresh & Nourish - Bedak Bayi 200gr + 60gr,14300,15632,6/20/2025 15:10,223537600,June,2025,Cussons,"8,574 - 17,147","0 - 45,264"
67,Cussons Baby Oil Mild & Gentle 100ml,18700,6600,6/20/2025 15:10,123420000,June,2025,Cussons,"17,147 - 25,721","0 - 45,264"
68,Cussons Baby Cotton Bud - Pembersih Telinga Bayi 50's X10,35100,2000,6/20/2025 15:10,70200000,June,2025,Cussons,"34,295 - 42,868","0 - 45,264"
69,Cussons Baby Cologne Sparkling Joy - Minyak Wangi Bayi 100ml,21900,9600,6/20/2025 15:10,210240000,June,2025,Cussons,"17,147 - 25,721","0 - 45,264"
70,Cussons Baby Milk Bath Soft & Smooth - Sabun Mandi Bayi Refill 600 ml +150 ml,36700,7800,6/20/2025 15:10,286260000,June,2025,Cussons,"34,295 - 42,868","0 - 45,264"
71,Cussons Baby Shampoo Candle Nut & Celery - Sampo Bayi 100ml,12600,15423,6/20/2025 15:10,194329800,June,2025,Cussons,"8,574 - 17,147","0 - 45,264"
72,Cussons Baby Hair & Body Wash Mild & Gentle - Sabun Bayi 2in1 Refill 375ml,23100,7900,6/20/2025 15:10,182490000,June,2025,Cussons,"17,147 - 25,721","0 - 45,264"
73,CUSSONS KIDS Toothpaste Sparkling Orange - 45g,7200,5700,6/20/2025 15:10,41040000,June,2025,Cussons,"0 - 8,574","0 - 45,264"
74,Cussons Kids Hair & Body Cologne Dragon Fresh Apple 100ml,17200,8000,6/20/2025 15:10,137600000,June,2025,Cussons,"17,147 - 25,721","0 - 45,264"
75,Cussons Baby Hair & Body Wash Mild & Gentle - Sabun Bayi 2in1 100ml,10400,47644,6/20/2025 15:10,495497600,June,2025,Cussons,"8,574 - 17,147","0 - 45,264"
76,Cussons Baby Hair Lotion Candle Nut & Celery 100ml x2,41100,7300,6/20/2025 15:10,300030000,June,2025,Cussons,"34,295 - 42,868","0 - 45,264"
77,Cussons Baby Hair Lotion Almond Oil & Honey - Losion Rambut Bayi 100ml,22200,6200,6/20/2025 15:10,137640000,June,2025,Cussons,"17,147 - 25,721","0 - 45,264"
78,Cussons Kids Hair & Body Cologne Strawberry 100ml,17200,8400,6/20/2025 15:10,144480000,June,2025,Cussons,"17,147 - 25,721","0 - 45,264"
79,Cussons Baby Powder Mild & Gentle Extra Fill - Bedak Bayi 350 gr + 100gr,20700,2300,6/20/2025 15:10,47610000,June,2025,Cussons,"17,147 - 25,721","0 - 45,264"
80,Cussons Baby Hair & Body Wash Mild & Gentle - Sabun Bayi 2in1 Pump 300ml,30100,8200,6/20/2025 15:10,246820000,June,2025,Cussons,"25,721 - 34,295","0 - 45,264"
81,Cussons Baby Hair Lotion Almond Oil & Honey - Losion Rambut Bayi 200ml,36400,2800,6/20/2025 15:10,101920000,June,2025,Cussons,"34,295 - 42,868","0 - 45,264"
82,CUSSONS KIDS Toothpaste Fresh Apple - 45g,7200,6000,6/20/2025 15:10,43200000,June,2025,Cussons,"0 - 8,574","0 - 45,264"
83,Cussons Baby Cologne Sparkling Joy 100ml x2,43000,3300,6/20/2025 15:10,141900000,June,2025,Cussons,"42,868 - 51,442","0 - 45,264"
84,Cussons Kids Shampoo Black & Shiny - Sampo Anak 180ml,17800,8700,6/20/2025 15:10,154860000,June,2025,Cussons,"17,147 - 25,721","0 - 45,264"
86,Cussons Baby Powder Soft & Smooth - Bedak Bayi 200gr + 60gr,14300,5900,6/20/2025 15:10,84370000,June,2025,Cussons,"8,574 - 17,147","0 - 45,264"
87,[Diskon 50% Item Ke 2] Cussons Baby Telon Oil Plus 150ml & 60ml,49600,3600,6/20/2025 15:10,178560000,June,2025,Cussons,"42,868 - 51,442","45,264 - 90,527"
88,[BUY 2 GET 1] Cussons Baby Oil Soft & Smooth 100ml,56000,174,6/20/2025 15:10,9744000,June,2025,Cussons,"51,442 - 60,016","45,264 - 90,527"
89,Cussons Baby Cologne Beautiful Sunshine - Minyak Wangi Bayi 100ml,21900,3500,6/20/2025 15:10,76650000,June,2025,Cussons,"17,147 - 25,721","0 - 45,264"
90,Cussons Baby Milk Bath Soft & Smooth Pouch 600 ml + 150 ml x2,70000,3400,6/20/2025 15:10,238000000,June,2025,Cussons,"68,589 - 77,163","45,264 - 90,527"
91,Cussons Baby Newborn Hair & Body Wash Pouch 400ml x2,60200,1900,6/20/2025 15:10,114380000,June,2025,Cussons,"60,016 - 68,589","45,264 - 90,527"
92,CUSSONS KIDS Toothbrush 5 -7 Years Dragon,8900,6900,6/20/2025 15:10,61410000,June,2025,Cussons,"8,574 - 17,147","0 - 45,264"
93,Cussons Kids Shampoo Unicorn Soft & Smooth Shampoo 180ml X2,35600,1200,6/20/2025 15:10,42720000,June,2025,Cussons,"34,295 - 42,868","0 - 45,264"
94,[BUY 2 GET 2] Cussons Baby Milk Bath Fresh & Nourish 100ml,50600,602,6/20/2025 15:10,30461200,June,2025,Cussons,"42,868 - 51,442","45,264 - 90,527"
